日期,开盘,收盘,最高,最低,交易量(手),交易金额(元),涨跌额,涨跌幅(%),振幅(%),换手率(%)
2017-02-03,23.12,23.14,23.40,22.90,24501,56853500,0.10,0.43,,0.83
2017-02-06,23.20,23.29,23.36,22.94,30003,69505200,0.15,0.65,1.815,1.02
2017-02-07,23.22,24.06,24.30,23.22,45295,108457200,0.77,3.31,4.637,1.54
2017-02-08,24.48,24.19,24.48,23.92,47469,114608500,0.13,0.54,2.328,1.61
2017-02-09,24.26,24.82,24.95,24.04,46254,113062100,0.63,2.60,3.762,1.57
2017-02-10,24.80,24.50,25.37,24.39,62541,155780200,-0.32,-1.29,3.948,2.13
2017-02-13,24.60,25.56,25.73,24.60,98941,252104000,1.06,4.33,4.612,3.36
2017-02-14,25.60,25.40,25.89,25.10,65024,165699800,-0.16,-0.63,3.091,2.21
2017-02-15,25.30,25.21,25.70,25.09,42800,108373700,-0.19,-0.75,2.402,1.45
2017-02-16,25.32,25.92,26.47,25.30,70358,182270100,0.71,2.82,4.641,2.39
2017-02-17,26.00,26.19,26.21,25.52,44467,115290600,0.27,1.04,2.662,1.51
2017-02-20,25.75,25.92,26.09,25.41,55700,143494300,-0.27,-1.03,2.596,1.89
2017-02-21,26.10,26.69,26.85,26.01,47900,127019700,0.77,2.97,3.24,1.63
2017-02-22,26.71,27.18,27.30,26.51,50258,135668900,0.49,1.84,2.96,1.71
2017-02-23,27.28,27.11,27.67,27.01,50463,137588200,-0.07,-0.26,2.43,1.72
2017-02-24,27.03,26.95,27.15,26.27,60723,161942800,-0.16,-0.59,3.25,2.06
2017-02-27,27.37,27.05,27.63,26.94,55319,150604100,0.10,0.37,2.56,1.88
2017-02-28,26.90,27.53,27.57,26.82,40505,110571000,0.48,1.77,2.77,1.38
2017-03-01,27.70,28.91,28.91,27.50,61638,176401100,1.38,5.01,5.12,2.10
2017-03-02,29.40,29.04,29.65,28.77,63520,185629000,0.13,0.45,3.04,2.16
2017-03-03,29.18,30.49,30.49,28.70,85802,254595300,1.45,4.99,6.16,2.92
2017-03-06,30.50,30.10,31.30,29.85,97127,295736500,-0.39,-1.28,4.76,3.30
2017-03-07,29.89,28.72,30.35,28.60,172953,502245100,-1.38,-4.58,5.81,5.88
2017-03-08,28.72,29.64,30.10,28.72,92619,272660900,0.92,3.20,4.80,3.15
2017-03-09,29.80,30.12,30.30,29.02,78737,234707600,0.48,1.62,4.32,2.68
2017-03-10,30.20,30.17,30.77,29.79,52597,158803100,0.05,0.17,3.25,1.79
2017-03-13,30.00,29.17,30.12,28.79,86444,252680700,-1.00,-3.31,4.41,2.94
2017-03-15,29.10,29.43,30.46,29.10,125948,374086700,0.26,0.89,4.66,4.28
2017-03-16,29.21,29.01,29.67,28.03,134211,384792704,-0.42,-1.43,5.57,4.56
2017-03-17,28.82,28.92,30.26,28.65,102801,302433462,-0.09,-0.31,5.55,3.49
2017-03-20,28.80,27.36,28.84,27.31,107939,301869564,-1.56,-5.39,5.29,3.67
2017-03-21,27.52,27.86,28.07,26.82,76258,210471043,0.50,1.83,4.57,2.59
2017-03-22,27.76,27.27,27.94,27.15,58726,161458528,-0.59,-2.12,2.84,2.00
2017-03-23,27.07,25.90,27.20,25.70,173813,456083102,-1.37,-5.02,5.50,5.91
2017-03-24,25.90,25.86,26.36,25.76,74839,194579171,-0.04,-0.15,2.32,2.54
2017-03-27,26.00,26.44,26.85,25.90,85943,226813919,0.58,2.24,3.67,2.92
2017-03-28,26.36,26.28,26.88,26.02,48702,128857089,-0.16,-0.61,3.25,1.66
2017-03-29,26.28,26.04,26.59,25.82,40073,104978881,-0.24,-0.91,2.93,1.36
2017-03-30,25.82,23.48,26.00,23.44,177085,428624023,-2.56,-9.83,9.83,6.02
2017-03-31,23.42,23.55,23.97,23.13,71213,168213636,0.07,0.30,3.58,2.42
2017-04-05,24.97,25.91,25.91,24.33,165078,422798529,2.36,10.02,6.71,5.61
2017-04-06,26.56,24.95,27.22,24.70,232781,607089620,-0.96,-3.71,9.73,7.91
2017-04-07,24.66,27.45,27.45,24.10,234352,607612379,2.50,10.02,13.43,7.97
2017-04-10,29.00,29.66,30.20,28.20,400457,1179703812,2.21,8.05,7.29,13.61
2017-04-11,29.40,29.81,31.58,29.10,338007,1021544215,0.15,0.51,8.36,11.49
2017-04-12,29.02,27.26,29.16,27.01,275123,772801339,-2.55,-8.55,7.21,9.35
2017-04-13,26.90,27.15,28.20,26.90,132197,363864508,-0.11,-0.40,4.77,4.49
2017-04-14,27.21,26.00,27.55,25.42,176903,464419267,-1.15,-4.24,7.85,6.01
2017-04-17,26.11,25.51,26.25,25.04,117515,302081281,-0.49,-1.88,4.65,4.00
2017-04-18,25.45,28.06,28.06,25.45,219870,601841835,2.55,10.00,10.23,7.47
2017-04-19,28.25,28.84,29.47,28.12,290846,837657532,0.78,2.78,4.81,9.89
2017-04-20,28.70,30.64,31.72,28.18,382834,1166438511,1.80,6.24,12.27,13.01
2017-04-21,30.33,30.22,31.49,29.81,264345,807394333,-0.42,-1.37,5.48,8.99
2017-04-24,30.24,30.04,30.64,28.40,203864,606158780,-0.18,-0.60,7.41,6.93
2017-04-25,30.10,32.38,32.95,29.48,248136,784253895,2.34,7.79,11.55,8.44
2017-04-26,32.02,32.54,33.86,31.90,259200,849801955,0.16,0.49,6.05,8.81
2017-04-27,32.10,32.41,32.96,30.60,227298,727881738,-0.13,-0.40,7.25,7.73
2017-04-28,32.00,32.35,32.94,30.90,213268,681378647,-0.06,-0.19,6.29,7.25
2017-05-02,31.80,31.34,31.94,30.90,171555,538200847,-1.01,-3.12,3.21,5.83
2017-05-03,30.88,29.96,30.97,29.54,191248,577655200,-1.38,-4.40,4.56,6.50
2017-05-04,29.85,30.18,30.80,29.70,152699,460995387,0.22,0.73,3.67,5.19
2017-05-05,29.68,27.33,29.76,27.30,225855,639749178,-2.85,-9.44,8.15,7.68
2017-05-08,27.28,27.47,28.20,27.00,131252,362382975,0.14,0.51,4.39,4.46
2017-05-09,27.25,27.47,27.60,26.21,125163,337558721,0.00,0.00,5.06,4.25
2017-05-10,27.01,25.57,27.32,25.50,158510,419402504,-1.90,-6.92,6.63,5.39
2017-05-11,25.44,25.69,26.00,23.81,185092,460156044,0.12,0.47,8.56,6.29
2017-05-12,25.48,27.75,27.99,25.31,231914,629234032,2.06,8.02,10.43,7.88
2017-05-15,27.80,28.14,28.59,27.10,166935,463801382,0.39,1.41,5.37,5.67
2017-05-16,27.71,28.88,28.97,27.17,179096,502944984,0.74,2.63,6.40,6.09
2017-05-17,28.66,29.03,29.87,28.51,198398,581229983,0.15,0.52,4.71,6.74
2017-05-18,27.50,27.63,28.39,27.50,149067,416283051,-1.40,-4.82,3.07,5.07
2017-05-19,27.61,27.27,27.95,27.20,77361,213213733,-0.36,-1.30,2.71,2.63
2017-05-22,27.90,27.04,28.44,26.98,107422,297811524,-0.23,-0.84,5.35,3.65
2017-05-23,26.50,25.94,26.98,25.38,120115,314491224,-1.10,-4.07,5.92,4.08
2017-05-24,25.65,26.43,26.50,25.65,95646,250103773,0.49,1.89,3.28,3.25
2017-05-25,26.18,26.74,26.85,25.18,115952,302005655,0.44,1.67,6.35,3.94
2017-05-26,26.78,26.12,26.78,25.88,82154,216054040,-0.62,-2.32,3.37,2.79
2017-05-31,26.41,25.78,26.72,25.51,93671,244781065,-0.34,-1.30,4.63,3.18
2017-06-01,25.38,23.85,25.68,23.80,123770,305099530,-1.93,-7.49,7.29,4.21
2017-06-02,23.58,24.76,24.99,23.30,96735,232609146,0.91,3.82,7.09,3.29
