日期,开盘,收盘,最高,最低,交易量(手),交易金额(元),涨跌额,涨跌幅(%),振幅(%),换手率(%)
2006-10-18,6.20,5.62,6.48,5.55,435362,260730000,2.38,73.46,28.70,77.74
2006-10-19,5.42,5.49,5.59,5.30,155238,84670000,-0.13,-2.31,5.16,27.72
2006-10-20,5.42,5.31,5.47,5.31,82309,44190000,-0.18,-3.28,2.91,14.70
2006-10-23,5.31,5.24,5.41,5.15,58312,30900000,-0.07,-1.32,4.90,10.41
2006-10-24,5.24,5.28,5.31,5.21,40954,21530000,0.04,0.76,1.91,7.31
2006-10-25,5.27,5.25,5.36,5.21,42188,22270000,-0.03,-0.57,2.84,7.53
2006-10-26,5.25,5.22,5.28,5.18,25537,13350000,-0.03,-0.57,1.90,4.56
2006-10-27,5.20,5.14,5.29,5.14,30680,15920000,-0.08,-1.53,2.87,5.48
2006-10-30,5.15,4.98,5.19,4.93,51179,25620000,-0.16,-3.11,5.06,9.14
2006-10-31,4.98,5.00,5.03,4.94,27679,13800000,0.02,0.40,1.81,4.94
2006-11-01,5.00,5.00,5.04,4.93,26395,13140000,0.00,0.00,2.20,4.71
2006-11-02,5.00,5.14,5.17,4.93,52981,26800000,0.14,2.80,4.80,9.46
2006-11-03,5.14,5.10,5.14,5.07,22985,11720000,-0.04,-0.78,1.36,4.10
2006-11-06,5.06,5.00,5.08,4.99,25879,13000000,-0.10,-1.96,1.76,4.62
2006-11-07,5.00,5.17,5.19,4.97,58218,29810000,0.17,3.40,4.40,10.40
2006-11-08,5.18,5.08,5.19,5.06,23643,12080000,-0.09,-1.74,2.51,4.22
2006-11-09,5.06,5.21,5.28,5.05,41360,21490000,0.13,2.56,4.53,7.39
2006-11-10,5.21,5.08,5.21,5.03,26900,13770000,-0.13,-2.50,3.45,4.80
2006-11-13,5.05,5.05,5.11,4.88,30995,15510000,-0.03,-0.59,4.53,5.53
2006-11-14,5.01,5.05,5.07,4.95,14352,7190000,0.00,0.00,2.38,2.56
2006-11-15,5.02,5.09,5.10,4.96,20296,10240000,0.04,0.79,2.77,3.62
2006-11-16,5.08,5.05,5.12,5.01,22562,11410000,-0.04,-0.79,2.16,4.03
2006-11-17,5.03,5.05,5.10,4.98,14402,7260000,0.00,0.00,2.38,2.57
2006-11-20,5.06,4.97,5.06,4.93,18866,9390000,-0.08,-1.58,2.57,3.37
2006-11-21,4.98,5.14,5.20,4.92,50942,26070000,0.17,3.42,5.63,9.10
2006-11-22,5.11,5.12,5.16,5.04,27910,14250000,-0.02,-0.39,2.33,4.98
2006-11-23,5.10,5.26,5.26,5.08,54943,28550000,0.14,2.73,3.52,9.81
2006-11-24,5.27,5.19,5.28,5.16,33732,17510000,-0.07,-1.33,2.28,6.02
2006-11-27,5.18,5.22,5.24,5.13,25108,13020000,0.03,0.58,2.12,4.48
2006-11-28,5.22,5.13,5.22,5.10,25306,13040000,-0.09,-1.72,2.30,4.52
2006-11-29,5.10,5.11,5.14,5.04,20151,10260000,-0.02,-0.39,1.95,3.60
2006-11-30,5.11,5.15,5.17,5.08,23639,12130000,0.04,0.78,1.76,4.22
2006-12-01,5.12,5.10,5.15,5.06,31857,16210000,-0.05,-0.97,1.75,5.69
2006-12-04,5.10,5.22,5.22,5.06,46469,23970000,0.12,2.35,3.14,8.30
2006-12-05,5.22,5.20,5.25,5.15,45160,23520000,-0.02,-0.38,1.92,8.06
2006-12-06,5.20,5.50,5.62,5.17,157192,85180000,0.30,5.77,8.65,28.07
2006-12-07,5.48,5.42,5.79,5.40,115962,64860000,-0.08,-1.45,7.09,20.71
2006-12-08,5.35,5.23,5.46,5.21,52147,27790000,-0.19,-3.51,4.61,9.31
2006-12-11,5.22,5.37,5.37,5.20,28359,15040000,0.14,2.68,3.25,5.06
2006-12-12,5.37,5.27,5.39,5.20,28557,15060000,-0.10,-1.86,3.54,5.10
2006-12-13,5.28,5.29,5.33,5.21,20188,10650000,0.02,0.38,2.28,3.61
2006-12-14,5.28,5.35,5.37,5.24,21049,11190000,0.06,1.13,2.46,3.76
2006-12-15,5.39,5.32,5.39,5.30,22696,12090000,-0.03,-0.56,1.68,4.05
2006-12-18,5.35,5.29,5.35,5.26,28499,15040000,-0.03,-0.56,1.69,5.09
2006-12-19,5.30,5.37,5.37,5.24,28851,15320000,0.08,1.51,2.46,5.15
2006-12-20,5.35,5.43,5.52,5.33,40218,21880000,0.06,1.12,3.54,7.18
2006-12-21,5.44,5.31,5.48,5.31,31378,16890000,-0.12,-2.21,3.13,5.60
2006-12-22,5.31,5.23,5.32,5.20,29232,15330000,-0.08,-1.51,2.26,5.22
2006-12-25,5.23,5.23,5.29,5.18,23509,12330000,0.00,0.00,2.10,4.20
2006-12-26,5.23,5.09,5.25,5.05,27639,14160000,-0.14,-2.68,3.82,4.94
2006-12-27,5.05,5.06,5.12,5.05,16649,8470000,-0.03,-0.59,1.38,2.97
2006-12-28,5.07,4.97,5.13,4.95,20632,10370000,-0.09,-1.78,3.56,3.68
2006-12-29,4.99,5.05,5.08,4.99,19931,10020000,0.08,1.61,1.81,3.56
2007-01-04,5.07,5.09,5.18,5.06,25114,12820000,0.04,0.79,2.38,4.48
2007-01-05,5.08,5.18,5.18,5.03,17261,8830000,0.09,1.77,2.95,3.08
2007-01-08,5.20,5.25,5.26,5.15,24655,12840000,0.07,1.35,2.12,4.40
2007-01-09,5.27,5.31,5.39,5.22,37583,19960000,0.06,1.14,3.24,6.71
2007-01-10,5.31,5.35,5.41,5.24,38154,20250000,0.04,0.75,3.20,6.81
2007-01-11,5.35,5.37,5.49,5.31,53048,28680000,0.02,0.37,3.36,9.47
2007-01-12,5.37,5.14,5.41,5.11,33587,17620000,-0.23,-4.28,5.59,6.00
2007-01-15,5.12,5.27,5.27,5.12,28624,14920000,0.13,2.53,2.92,5.11
2007-01-16,5.26,5.54,5.55,5.26,90810,49330000,0.27,5.12,5.50,16.22
2007-01-17,5.60,5.41,5.62,5.34,107275,59230000,-0.13,-2.35,5.05,19.16
2007-01-18,5.38,5.55,5.56,5.20,97000,52210000,0.14,2.59,6.65,13.86
2007-01-19,5.55,5.65,5.68,5.52,102160,57170000,0.10,1.80,2.88,14.59
2007-01-22,5.68,5.90,5.92,5.65,106020,61050000,0.25,4.42,4.78,15.15
2007-01-23,5.92,5.80,5.95,5.59,94677,54590000,-0.10,-1.69,6.10,13.53
2007-01-24,5.80,5.90,5.96,5.80,78202,45880000,0.10,1.72,2.76,11.17
2007-01-25,5.90,5.55,5.90,5.53,59968,34010000,-0.35,-5.93,6.27,8.57
2007-01-26,5.50,5.58,5.64,5.37,48086,26350000,0.03,0.54,4.86,6.87
2007-01-29,5.56,5.74,5.77,5.55,61064,34540000,0.16,2.87,3.94,8.72
2007-01-30,5.75,5.64,5.81,5.62,45484,25940000,-0.10,-1.74,3.31,6.50
2007-01-31,5.64,5.44,5.64,5.38,44076,24330000,-0.20,-3.55,4.61,6.30
2007-02-01,5.44,5.47,5.52,5.36,24539,13340000,0.03,0.55,2.94,3.51
2007-02-02,5.52,5.46,5.57,5.38,33613,18440000,-0.01,-0.18,3.47,4.80
2007-02-05,5.56,5.74,5.76,5.50,76618,43440000,0.28,5.13,4.76,10.95
2007-02-06,5.85,5.81,5.94,5.78,83659,49020000,0.07,1.22,2.79,11.95
2007-02-07,5.81,5.89,5.93,5.76,52439,30620000,0.08,1.38,2.93,7.49
2007-02-08,5.90,5.88,5.94,5.80,39704,23270000,-0.01,-0.17,2.38,5.67
2007-02-09,5.88,5.77,5.88,5.70,33726,19500000,-0.11,-1.87,3.06,4.82
2007-02-12,5.79,5.90,5.94,5.74,48561,28570000,0.13,2.25,3.47,6.94
2007-02-13,5.93,6.13,6.24,5.90,75668,46040000,0.23,3.90,5.76,10.81
2007-02-14,6.10,6.14,6.19,6.07,52264,32030000,0.01,0.16,1.96,7.47
2007-02-15,6.14,6.23,6.25,6.08,49370,30430000,0.09,1.47,2.77,7.05
