日期,开盘,收盘,最高,最低,交易量(手),交易金额(元),涨跌额,涨跌幅(%),振幅(%),换手率(%)
2007-02-15,19.00,19.65,19.80,18.00,98555,185670000,10.50,114.75,19.67,61.60
2007-02-16,19.20,18.90,19.48,18.65,35242,67050000,-0.75,-3.82,4.22,22.03
2007-02-26,18.85,19.55,19.60,18.75,27792,53420000,0.65,3.44,4.50,17.37
2007-02-27,19.48,18.18,19.50,18.00,30150,56740000,-1.37,-7.01,7.67,18.84
2007-02-28,18.31,18.94,18.97,18.30,14673,27450000,0.76,4.18,3.69,9.17
2007-03-01,18.82,18.25,18.84,18.00,24692,44930000,-0.69,-3.64,4.44,15.43
2007-03-02,18.30,18.04,18.40,17.75,11302,20340000,-0.21,-1.15,3.56,7.06
2007-03-05,18.04,17.99,18.28,17.77,7868,14140000,-0.05,-0.28,2.83,4.92
2007-03-06,18.00,18.25,18.29,17.80,8047,14580000,0.26,1.45,2.72,5.03
2007-03-07,18.28,18.46,18.57,18.28,8015,14790000,0.21,1.15,1.59,5.01
2007-03-08,18.50,18.60,18.62,18.18,9151,16830000,0.14,0.76,2.38,5.72
2007-03-09,18.59,18.40,18.67,18.28,7745,14290000,-0.20,-1.08,2.10,4.84
2007-03-12,18.37,18.41,18.42,18.15,8939,16340000,0.01,0.05,1.47,5.59
2007-03-13,18.38,18.36,18.48,18.22,7343,13460000,-0.05,-0.27,1.41,4.59
2007-03-14,18.38,18.19,18.38,18.06,7769,14110000,-0.17,-0.93,1.74,4.86
2007-03-15,18.15,18.41,18.44,18.15,8823,16210000,0.22,1.21,1.59,5.51
2007-03-16,18.48,18.15,18.52,17.92,7834,14330000,-0.26,-1.41,3.26,4.90
2007-03-19,17.80,18.14,18.33,17.70,7339,13260000,-0.01,-0.06,3.47,4.59
2007-03-20,18.10,18.32,18.33,18.10,4267,7780000,0.18,0.99,1.27,2.67
2007-03-21,18.32,18.30,18.39,18.18,4664,8510000,-0.02,-0.11,1.15,2.92
2007-03-22,18.34,18.41,18.57,18.26,10026,18480000,0.11,0.60,1.69,6.27
2007-03-26,18.60,19.10,19.40,18.50,22754,43070000,0.69,3.75,4.89,14.22
2007-03-27,19.00,19.02,19.10,18.81,13126,24940000,-0.08,-0.42,1.52,8.20
2007-03-28,19.01,18.90,19.20,18.31,13287,25000000,-0.12,-0.63,4.68,8.30
2007-03-29,18.90,18.70,19.08,18.62,8363,15740000,-0.20,-1.06,2.43,5.23
2007-03-30,18.70,19.15,19.39,18.63,15928,30490000,0.45,2.41,4.06,9.96
2007-04-02,19.02,19.21,19.38,19.02,10919,20950000,0.06,0.31,1.88,6.82
2007-04-03,19.25,19.14,19.29,18.98,8101,15460000,-0.07,-0.36,1.61,5.06
2007-04-04,19.15,19.15,19.23,18.95,8130,15520000,0.01,0.05,1.46,5.08
2007-04-05,19.15,19.25,19.25,18.93,8333,15890000,0.10,0.52,1.67,5.21
2007-04-06,19.28,19.55,20.00,19.28,17032,33440000,0.30,1.56,3.74,10.65
2007-04-09,19.56,19.64,19.65,19.38,12197,23810000,0.09,0.46,1.38,7.62
2007-04-10,19.68,20.16,20.23,19.19,19167,37930000,0.52,2.65,5.30,11.98
2007-04-11,20.24,19.87,20.24,19.56,11040,21920000,-0.29,-1.44,3.37,6.90
2007-04-12,19.75,20.19,20.22,19.75,15430,30930000,0.32,1.61,2.37,9.64
2007-04-13,20.19,19.93,20.45,19.91,13405,26950000,-0.26,-1.29,2.67,8.38
2007-04-16,19.85,20.24,20.38,19.85,11307,22730000,0.31,1.56,2.66,7.07
2007-04-17,20.30,20.10,20.50,19.72,12797,25730000,-0.14,-0.69,3.85,8.00
2007-04-18,20.15,20.37,20.46,19.86,14502,29240000,0.27,1.34,2.99,9.06
2007-04-19,20.35,19.47,20.35,19.15,15650,30870000,-0.90,-4.42,5.89,9.78
2007-04-20,19.55,20.25,20.39,19.54,14233,28550000,0.78,4.01,4.37,8.90
2007-04-23,20.40,20.88,21.00,20.26,18359,38130000,0.63,3.11,3.65,11.47
2007-04-24,20.88,20.65,21.01,20.55,11393,23660000,-0.23,-1.10,2.20,7.12
2007-04-25,20.51,20.46,20.77,20.05,8977,18300000,-0.19,-0.92,3.49,5.61
2007-04-26,20.46,21.08,21.30,20.35,12015,25150000,0.62,3.03,4.64,7.51
2007-04-27,20.97,20.79,21.27,20.60,8409,17490000,-0.29,-1.38,3.18,5.26
2007-04-30,20.56,20.65,20.80,20.28,10046,20660000,-0.14,-0.67,2.50,6.28
2007-05-08,20.80,21.39,21.75,20.65,18483,38830000,0.74,3.58,5.33,11.55
2007-05-09,21.10,20.88,21.30,20.50,11757,24630000,-0.51,-2.38,3.74,7.35
2007-05-10,20.90,21.00,21.27,20.80,8639,18190000,0.12,0.57,2.25,5.40
2007-05-11,21.00,20.68,21.00,20.50,10245,21170000,-0.32,-1.52,2.38,6.40
2007-05-14,20.50,20.65,21.20,20.32,8064,16730000,-0.03,-0.15,4.26,5.04
2007-05-16,20.00,20.38,20.40,19.76,25540,51100000,-0.27,-1.31,3.10,12.77
2007-05-17,20.37,20.80,20.85,20.20,13212,27270000,0.42,2.06,3.19,6.61
2007-05-18,20.70,20.72,21.07,20.50,11102,23080000,-0.08,-0.38,2.74,5.55
2007-05-21,20.20,20.97,21.00,20.11,15273,31600000,0.25,1.21,4.30,7.64
2007-05-22,21.23,21.29,21.70,21.08,24407,52310000,0.32,1.53,2.96,12.20
2007-05-23,21.11,21.60,21.61,21.11,15833,33830000,0.31,1.46,2.35,7.92
2007-05-24,21.45,20.86,21.54,20.51,16761,35110000,-0.54,-2.52,4.81,8.38
2007-05-25,20.85,21.25,21.40,20.72,14300,30140000,0.39,1.87,3.26,7.15
2007-05-28,21.57,21.40,21.58,21.23,18083,38730000,0.15,0.71,1.65,9.04
2007-05-29,21.33,21.77,21.79,21.21,17146,36810000,0.37,1.73,2.71,8.57
2007-05-30,20.40,20.00,21.28,19.83,22106,45460000,-1.77,-8.13,6.66,11.05
2007-05-31,20.28,20.35,20.62,19.58,14974,30170000,0.35,1.75,5.20,7.49
2007-06-01,20.58,19.73,20.75,19.60,15633,31510000,-0.62,-3.05,5.65,7.82
2007-06-04,19.83,17.96,20.00,17.90,16220,30180000,-1.77,-8.97,10.64,8.11
2007-06-05,17.81,18.56,18.60,17.12,14899,27090000,0.60,3.34,8.24,7.45
2007-06-06,18.60,18.80,18.97,18.19,13016,24340000,0.24,1.29,4.20,6.51
2007-06-07,18.78,19.41,19.58,18.58,13639,26180000,0.61,3.24,5.32,6.82
2007-06-08,19.41,19.39,19.50,19.18,9347,18100000,-0.02,-0.10,1.65,4.67
2007-06-11,19.42,19.58,19.86,19.40,10301,20200000,0.19,0.98,2.37,5.15
2007-06-12,19.81,19.88,19.90,19.01,11550,22490000,0.30,1.53,4.55,5.78
2007-06-13,19.93,20.38,20.38,19.92,15041,30290000,0.50,2.52,2.31,7.52
2007-06-14,20.38,20.00,20.49,20.00,12249,24790000,-0.38,-1.86,2.40,6.12
2007-06-15,19.82,22.00,22.00,19.82,33840,73280000,2.00,10.00,10.90,16.92
2007-06-18,23.05,24.20,24.20,23.05,24850,59210000,2.20,10.00,5.23,12.42
2007-06-19,25.00,24.66,25.58,24.20,49146,122320000,0.46,1.90,5.70,24.57
2007-06-20,24.38,23.72,25.10,23.51,22335,54550000,-0.94,-3.81,6.45,11.17
2007-06-21,23.72,26.09,26.09,23.72,44275,113980000,2.37,9.99,9.99,22.14
2007-06-22,26.50,23.92,26.69,23.48,38173,94450000,-2.17,-8.32,12.30,19.09
2007-06-25,24.10,22.08,24.52,21.80,21930,50040000,-1.84,-7.69,11.37,10.97
2007-06-26,21.90,23.76,23.92,21.20,20042,46070000,1.68,7.61,12.32,10.02
2007-06-27,23.50,24.78,25.60,23.20,24105,59580000,1.02,4.29,10.10,12.05
2007-06-28,24.60,22.68,25.20,22.68,16466,39200000,-2.10,-8.47,10.17,8.23
2007-06-29,22.02,23.27,24.00,22.00,15776,36440000,0.59,2.60,8.82,7.89
2007-07-02,22.88,25.27,25.35,22.80,22234,53910000,2.00,8.59,10.96,11.12
2007-07-03,25.39,25.27,25.50,24.21,18284,45690000,0.00,0.00,5.10,9.14
2007-07-04,25.33,24.34,25.39,24.25,10134,25050000,-0.93,-3.68,4.51,5.07
2007-07-05,23.98,22.15,23.98,22.02,15992,36610000,-2.19,-9.00,8.05,8.00
2007-07-06,22.04,23.40,23.59,22.04,12505,28650000,1.25,5.64,7.00,6.25
2007-07-09,23.40,23.85,24.40,23.26,12044,28790000,0.45,1.92,4.87,6.02
2007-07-10,24.00,23.05,24.10,22.81,10909,25250000,-0.80,-3.35,5.41,5.45
2007-07-11,22.90,23.48,23.83,22.62,6911,16190000,0.43,1.87,5.25,3.46
2007-07-12,23.47,24.00,24.15,22.99,10836,25730000,0.52,2.21,4.94,5.42
2007-07-13,24.00,24.99,25.15,23.80,24414,60540000,0.99,4.13,5.63,12.21
2007-07-16,25.00,24.90,25.98,24.70,19679,49870000,-0.09,-0.36,5.12,9.84
2007-07-17,24.90,26.39,27.39,24.73,30028,79390000,1.49,5.98,10.68,15.01
2007-07-18,25.91,25.76,27.19,25.42,19003,49790000,-0.63,-2.39,6.71,9.50
2007-07-19,25.75,25.80,26.30,25.11,10589,27080000,0.04,0.16,4.62,5.29
2007-07-20,25.75,26.10,26.68,25.69,14445,37920000,0.30,1.16,3.84,7.22
2007-07-23,26.10,27.19,27.77,26.01,17839,48080000,1.09,4.18,6.74,8.92
2007-07-24,27.22,26.62,27.80,26.55,13988,37940000,-0.57,-2.10,4.60,6.99
2007-07-25,26.65,27.70,27.77,26.09,18478,49860000,1.08,4.06,6.31,9.24
2007-07-26,27.50,28.00,28.50,27.17,12804,35730000,0.30,1.08,4.80,6.40
2007-07-27,27.90,27.73,28.33,27.38,10629,29380000,-0.27,-0.96,3.39,5.31
2007-07-30,27.56,27.50,28.00,27.30,12227,33740000,-0.23,-0.83,2.52,6.11
2007-07-31,27.48,27.50,27.88,26.67,11542,31380000,0.00,0.00,4.40,5.77
2007-08-01,27.30,25.60,27.86,25.60,15374,40740000,-1.90,-6.91,8.22,7.69
2007-08-02,25.68,26.44,26.49,25.25,10110,26370000,0.84,3.28,4.84,5.06
2007-08-03,26.40,27.00,27.57,26.11,12801,34420000,0.56,2.12,5.52,6.40
2007-08-06,27.00,26.60,27.38,26.22,10625,28260000,-0.40,-1.48,4.30,5.31
2007-08-07,26.50,26.85,27.50,26.50,10024,27100000,0.25,0.94,3.76,5.01
2007-08-08,26.85,25.80,26.97,25.25,8904,23130000,-1.05,-3.91,6.41,4.45
2007-08-09,25.62,26.35,26.35,25.62,7011,18180000,0.55,2.13,2.83,3.51
2007-08-10,26.35,25.06,26.44,24.81,9513,24060000,-1.29,-4.90,6.19,4.76
2007-08-13,24.58,24.40,24.87,24.03,9051,22070000,-0.66,-2.63,3.35,4.53
2007-08-14,24.31,25.54,25.66,24.31,6868,17300000,1.14,4.67,5.53,3.43
2007-08-15,25.50,25.10,25.80,24.50,7116,17880000,-0.44,-1.72,5.09,3.56
2007-08-16,25.00,25.03,25.17,24.43,4386,10850000,-0.07,-0.28,2.95,2.19
2007-08-17,24.90,25.70,25.95,24.90,7347,18770000,0.67,2.68,4.20,3.67
2007-08-20,26.01,26.30,26.89,26.01,7943,20990000,0.60,2.33,3.42,3.97
2007-08-21,26.30,25.76,26.80,25.68,5309,13760000,-0.54,-2.05,4.26,2.65
2007-08-22,25.68,25.42,25.78,25.24,6520,16590000,-0.34,-1.32,2.10,3.26
2007-08-23,25.32,25.88,25.96,24.90,8067,20370000,0.46,1.81,4.17,4.03
2007-08-24,25.91,25.52,25.91,25.45,4439,11360000,-0.36,-1.39,1.78,2.22
2007-08-27,25.40,24.95,25.80,24.70,7200,18070000,-0.57,-2.23,4.31,3.60
2007-08-28,25.00,24.38,25.10,23.81,11766,28460000,-0.57,-2.28,5.17,5.88
2007-08-29,24.37,24.42,24.70,23.80,8443,20260000,0.04,0.16,3.69,4.22
2007-08-30,24.30,24.54,24.73,23.96,7692,18780000,0.12,0.49,3.15,3.85
2007-08-31,24.58,24.77,25.05,24.30,6921,17130000,0.23,0.94,3.06,3.46
2007-09-03,24.76,24.95,25.03,24.50,8058,19940000,0.18,0.73,2.14,4.03
2007-09-04,24.95,25.28,25.65,24.62,10905,27510000,0.33,1.32,4.13,5.45
2007-09-05,25.54,24.75,25.54,24.55,5992,14940000,-0.53,-2.10,3.92,3.00
2007-09-06,24.75,24.42,24.99,24.41,7186,17670000,-0.33,-1.33,2.34,3.59
2007-09-07,24.45,24.06,24.60,24.05,6552,15890000,-0.36,-1.47,2.25,3.28
2007-09-10,23.90,24.07,24.24,23.40,6520,15470000,0.01,0.04,3.49,3.26
2007-09-11,24.00,22.50,24.15,22.50,8028,18820000,-1.57,-6.52,6.86,4.01
2007-09-12,22.50,22.75,23.00,22.05,5962,13480000,0.25,1.11,4.22,2.98
2007-09-14,23.80,24.54,24.54,23.32,14291,34530000,1.79,7.87,5.36,7.15
2007-09-17,24.98,24.27,25.19,24.00,8472,20770000,-0.27,-1.10,4.85,4.24
2007-09-18,24.31,23.36,24.40,23.27,7061,16730000,-0.91,-3.75,4.66,3.53
2007-09-19,23.88,23.08,23.88,22.90,4527,10480000,-0.28,-1.20,4.20,2.26
2007-09-20,23.11,23.20,23.54,23.01,3585,8310000,0.12,0.52,2.30,1.79
2007-09-21,23.21,22.64,23.34,22.32,5489,12390000,-0.56,-2.41,4.40,2.74
2007-09-24,22.65,22.05,22.76,21.51,5074,11170000,-0.59,-2.61,5.52,2.54
2007-09-25,22.03,22.46,22.77,21.88,3494,7790000,0.41,1.86,4.04,1.75
2007-09-26,22.48,22.30,22.65,22.20,2389,5340000,-0.16,-0.71,2.00,1.19
2007-09-28,22.78,22.60,23.26,22.58,4561,10440000,0.30,1.35,3.05,2.28
