2017-03-31,0.00,0.00,0.00
2016-11-08,0.00,0.00,0.21
2016-03-31,0.00,0.00,0.00
2015-04-18,0.00,0.00,0.00
2014-03-20,0.00,0.00,0.00
2013-03-09,0.00,0.00,0.00
2012-03-10,0.00,0.00,0.00
2011-03-18,0.00,0.00,0.00
2010-03-12,0.00,0.00,0.00
2009-03-07,0.00,0.00,0.00
2008-03-08,0.00,0.00,0.00
2007-03-08,0.00,0.00,0.00
2006-07-18,0.00,0.15,0.00
2006-02-25,0.00,0.00,0.00
2005-06-29,0.00,0.00,0.00
2002-07-17,0.00,0.30,0.02
2001-04-13,0.20,0.80,0.05
2000-06-08,0.00,0.00,0.10
1999-07-28,0.00,0.00,0.15
1998-05-28,0.20,0.00,0.00
