2017-03-17,0.00,0.00,0.00
2016-06-15,0.00,0.00,0.01
2015-03-27,0.00,0.00,0.00
2014-06-12,0.00,0.00,0.02
2013-07-18,0.00,0.00,0.02
2012-10-24,0.00,0.00,0.02
2012-03-23,0.00,0.00,0.00
2011-03-26,0.00,0.00,0.00
2010-04-17,0.00,0.00,0.00
2009-04-18,0.00,0.00,0.00
2008-04-17,0.00,0.00,0.00
2007-03-27,0.00,0.00,0.00
2006-07-19,0.00,0.30,0.05
2005-08-09,0.00,0.00,0.05
2004-07-09,0.00,0.00,0.05
2003-08-18,0.00,0.00,0.10
2002-06-24,0.00,0.00,0.10
2001-06-22,0.10,0.20,0.10
2000-09-07,0.20,0.20,0.00
1999-07-15,0.00,0.00,0.30
