2017-03-25,0.00,0.00,0.00
2016-07-27,0.00,0.00,0.25
2015-08-05,0.00,0.00,0.25
2014-07-18,0.00,0.00,0.26
2013-06-24,0.00,0.00,0.23
2012-07-06,0.00,0.00,0.30
2011-07-11,0.00,0.00,0.30
2010-07-19,0.00,0.00,0.30
2009-06-15,0.00,0.00,0.30
2008-06-16,0.00,0.00,0.40
2007-06-14,0.00,0.00,0.35
2006-05-30,0.00,0.00,0.30
2005-06-27,0.00,0.00,0.20
2002-07-25,0.00,0.10,0.00
1999-07-13,0.10,0.10,0.00
1997-07-14,0.10,0.10,0.00
1996-06-10,0.10,0.00,0.00
1995-04-03,0.00,0.00,0.18
1994-05-09,0.20,0.00,0.00
